addi    $31    $0     0   
addi    $31    $1     1   
addi    $31    $2     2   
addi    $31    $3     3   
addi    $31    $4     4   
addi    $31    $5     5   
addi    $31    $6     6   
addi    $31    $7     7   
addi    $31    $8     8   
addi    $31    $9     9   
addi    $31    $10    10  
addi    $31    $11    11  
addi    $31    $12    12  
addi    $31    $13    13  
addi    $31    $14    14  
addi    $31    $15    15  
addi    $31    $16    16  
addi    $31    $17    17  
addi    $31    $18    18  
addi    $31    $19    19  
addi    $31    $20    20  
addi    $31    $21    21  
addi    $31    $22    22  
addi    $31    $23    23  
addi    $31    $24    24  
addi    $31    $25    25  
addi    $31    $26    26  
addi    $31    $27    27  
addi    $31    $28    28  
addi    $31    $29    29  
addi    $31    $30    30  
subu    $0     $0     $31  
sw      $0     $31    0   
subu    $1     $0     $31  
sw      $0     $31    4   
subu    $2     $0     $31  
sw      $0     $31    8   
subu    $3     $0     $31  
sw      $0     $31    12  
subu    $4     $0     $31  
sw      $0     $31    16  
subu    $5     $0     $31  
sw      $0     $31    20  
subu    $6     $0     $31  
sw      $0     $31    24  
subu    $7     $0     $31  
sw      $0     $31    28  
subu    $8     $0     $31  
sw      $0     $31    32  
subu    $9     $0     $31  
sw      $0     $31    36  
subu    $10    $0     $31  
sw      $0     $31    40  
subu    $11    $0     $31  
sw      $0     $31    44  
subu    $12    $0     $31  
sw      $0     $31    48  
subu    $13    $0     $31  
sw      $0     $31    52  
subu    $14    $0     $31  
sw      $0     $31    56  
subu    $15    $0     $31  
sw      $0     $31    60  
subu    $16    $0     $31  
sw      $0     $31    64  
subu    $17    $0     $31  
sw      $0     $31    68  
subu    $18    $0     $31  
sw      $0     $31    72  
subu    $19    $0     $31  
sw      $0     $31    76  
subu    $20    $0     $31  
sw      $0     $31    80  
subu    $21    $0     $31  
sw      $0     $31    84  
subu    $22    $0     $31  
sw      $0     $31    88  
subu    $23    $0     $31  
sw      $0     $31    92  
subu    $24    $0     $31  
sw      $0     $31    96  
subu    $25    $0     $31  
sw      $0     $31    100 
subu    $26    $0     $31  
sw      $0     $31    104 
subu    $27    $0     $31  
sw      $0     $31    108 
subu    $28    $0     $31  
sw      $0     $31    112 
subu    $29    $0     $31  
sw      $0     $31    116 
subu    $30    $0     $31  
sw      $0     $31    120 
subu    $31    $9     $31  
sw      $0     $31    124 
subu    $1     $0     $31  
sw      $0     $31    128 
subu    $2     $1     $31  
sw      $0     $31    132 
subu    $3     $2     $31  
sw      $0     $31    136 
subu    $4     $3     $31  
sw      $0     $31    140 
subu    $5     $4     $31  
sw      $0     $31    144 
subu    $6     $5     $31  
sw      $0     $31    148 
subu    $7     $6     $31  
sw      $0     $31    152 
subu    $8     $7     $31  
sw      $0     $31    156 
subu    $9     $8     $31  
sw      $0     $31    160 
subu    $10    $9     $31  
sw      $0     $31    164 
subu    $11    $10    $31  
sw      $0     $31    168 
subu    $12    $11    $31  
sw      $0     $31    172 
subu    $13    $12    $31  
sw      $0     $31    176 
subu    $14    $13    $31  
sw      $0     $31    180 
subu    $15    $14    $31  
sw      $0     $31    184 
subu    $16    $15    $31  
sw      $0     $31    188 
subu    $17    $16    $31  
sw      $0     $31    192 
subu    $18    $17    $31  
sw      $0     $31    196 
subu    $19    $18    $31  
sw      $0     $31    200 
subu    $20    $19    $31  
sw      $0     $31    204 
subu    $21    $20    $31  
sw      $0     $31    208 
subu    $22    $21    $31  
sw      $0     $31    212 
subu    $23    $22    $31  
sw      $0     $31    216 
subu    $24    $23    $31  
sw      $0     $31    220 
subu    $25    $24    $31  
sw      $0     $31    224 
subu    $26    $25    $31  
sw      $0     $31    228 
subu    $27    $26    $31  
sw      $0     $31    232 
subu    $28    $27    $31  
sw      $0     $31    236 
subu    $29    $28    $31  
sw      $0     $31    240 
subu    $30    $29    $31  
sw      $0     $31    244 
subu    $31    $30    $31  
sw      $0     $31    248 
subu    $31    $31    $31  
sw      $0     $31    252 
eof 
