addi    $31    $0     0   
addi    $31    $1     7   
addi    $31    $2     14  
addi    $31    $3     21  
addi    $31    $4     28  
addi    $31    $5     35  
addi    $31    $6     42  
addi    $31    $7     49  
addi    $31    $8     56  
addi    $31    $9     63  
addi    $31    $10    70  
addi    $31    $11    77  
addi    $31    $12    84  
addi    $31    $13    91  
addi    $31    $14    98  
addi    $31    $15    105 
addi    $31    $16    112 
addi    $31    $17    119 
addi    $31    $18    126 
addi    $31    $19    133 
addi    $31    $20    140 
addi    $31    $21    147 
addi    $31    $22    154 
addi    $31    $23    161 
addi    $31    $24    168 
addi    $31    $25    175 
addi    $31    $26    182 
addi    $31    $27    189 
addi    $31    $28    196 
addi    $31    $29    203 
addi    $31    $30    210 
and     $0     $4     $31  
sw      $0     $31    0   
and     $1     $4     $31  
sw      $0     $31    4   
and     $2     $4     $31  
sw      $0     $31    8   
and     $3     $4     $31  
sw      $0     $31    12  
and     $4     $4     $31  
sw      $0     $31    16  
and     $5     $4     $31  
sw      $0     $31    20  
and     $6     $4     $31  
sw      $0     $31    24  
and     $7     $4     $31  
sw      $0     $31    28  
and     $8     $4     $31  
sw      $0     $31    32  
and     $9     $4     $31  
sw      $0     $31    36  
and     $10    $4     $31  
sw      $0     $31    40  
and     $11    $4     $31  
sw      $0     $31    44  
and     $12    $4     $31  
sw      $0     $31    48  
and     $13    $4     $31  
sw      $0     $31    52  
and     $14    $4     $31  
sw      $0     $31    56  
and     $15    $4     $31  
sw      $0     $31    60  
and     $16    $4     $31  
sw      $0     $31    64  
and     $17    $4     $31  
sw      $0     $31    68  
and     $18    $4     $31  
sw      $0     $31    72  
and     $19    $4     $31  
sw      $0     $31    76  
and     $20    $4     $31  
sw      $0     $31    80  
and     $21    $4     $31  
sw      $0     $31    84  
and     $22    $4     $31  
sw      $0     $31    88  
and     $23    $4     $31  
sw      $0     $31    92  
and     $24    $4     $31  
sw      $0     $31    96  
and     $25    $4     $31  
sw      $0     $31    100 
and     $26    $4     $31  
sw      $0     $31    104 
and     $27    $4     $31  
sw      $0     $31    108 
and     $28    $4     $31  
sw      $0     $31    112 
and     $29    $4     $31  
sw      $0     $31    116 
and     $30    $4     $31  
sw      $0     $31    120 
and     $11    $22    $31  
sw      $0     $31    124 
nor     $0     $1     $2   
sw      $0     $31    128 
or      $1     $2     $3   
sw      $0     $31    132 
nor     $2     $3     $4   
sw      $0     $31    136 
or      $3     $4     $5   
sw      $0     $31    140 
nor     $4     $5     $6   
sw      $0     $31    144 
or      $5     $6     $7   
sw      $0     $31    148 
nor     $6     $7     $8   
sw      $0     $31    152 
or      $7     $8     $9   
sw      $0     $31    156 
nor     $8     $9     $10  
sw      $0     $31    160 
or      $9     $10    $11  
sw      $0     $31    164 
nor     $10    $11    $12  
sw      $0     $31    168 
or      $11    $12    $13  
sw      $0     $31    172 
nor     $12    $13    $14  
sw      $0     $31    176 
or      $13    $14    $15  
sw      $0     $31    180 
nor     $14    $15    $16  
sw      $0     $31    184 
or      $15    $16    $17  
sw      $0     $31    188 
nor     $16    $17    $18  
sw      $0     $31    192 
or      $17    $18    $19  
sw      $0     $31    196 
nor     $18    $19    $20  
sw      $0     $31    200 
or      $19    $20    $21  
sw      $0     $31    204 
nor     $20    $21    $22  
sw      $0     $31    208 
or      $21    $22    $23  
sw      $0     $31    212 
nor     $22    $23    $24  
sw      $0     $31    216 
or      $23    $24    $25  
sw      $0     $31    220 
nor     $24    $25    $26  
sw      $0     $31    224 
or      $25    $26    $27  
sw      $0     $31    228 
nor     $26    $27    $28  
sw      $0     $31    232 
or      $27    $28    $29  
sw      $0     $31    236 
nor     $28    $29    $30  
sw      $0     $31    240 
or      $29    $30    $31  
sw      $0     $31    244 
subu    $31    $1     $31  
sw      $0     $31    252 
eof 
