addi    $31    $0     0   
addi    $31    $1     1   
addi    $31    $2     2   
addi    $31    $3     3   
addi    $31    $4     4   
addi    $31    $5     5   
addi    $31    $6     6   
addi    $31    $7     7   
addi    $31    $8     8   
addi    $31    $9     9   
addi    $31    $10    10  
addi    $31    $11    11  
addi    $31    $12    12  
addi    $31    $13    13  
addi    $31    $14    14  
addi    $31    $15    15  
addi    $31    $16    16  
addi    $31    $17    17  
addi    $31    $18    18  
addi    $31    $19    19  
addi    $31    $20    20  
addi    $31    $21    21  
addi    $31    $22    22  
addi    $31    $23    23  
addi    $31    $24    24  
addi    $31    $25    25  
addi    $31    $26    26  
addi    $31    $27    27  
addi    $31    $28    28  
addi    $31    $29    29  
addi    $31    $30    30  
addu    $0     $0     $31  
sw      $0     $31    0   
addu    $1     $1     $31  
sw      $0     $31    4   
addu    $2     $2     $31  
sw      $0     $31    8   
addu    $3     $3     $31  
sw      $0     $31    12  
addu    $4     $4     $31  
sw      $0     $31    16  
addu    $5     $5     $31  
sw      $0     $31    20  
addu    $6     $6     $31  
sw      $0     $31    24  
addu    $7     $7     $31  
sw      $0     $31    28  
addu    $8     $8     $31  
sw      $0     $31    32  
addu    $9     $9     $31  
sw      $0     $31    36  
addu    $10    $10    $31  
sw      $0     $31    40  
addu    $11    $11    $31  
sw      $0     $31    44  
addu    $12    $12    $31  
sw      $0     $31    48  
addu    $13    $13    $31  
sw      $0     $31    52  
addu    $14    $14    $31  
sw      $0     $31    56  
addu    $15    $15    $31  
sw      $0     $31    60  
addu    $16    $16    $31  
sw      $0     $31    64  
addu    $17    $17    $31  
sw      $0     $31    68  
addu    $18    $18    $31  
sw      $0     $31    72  
addu    $19    $19    $31  
sw      $0     $31    76  
addu    $20    $20    $31  
sw      $0     $31    80  
addu    $21    $21    $31  
sw      $0     $31    84  
addu    $22    $22    $31  
sw      $0     $31    88  
addu    $23    $23    $31  
sw      $0     $31    92  
addu    $24    $24    $31  
sw      $0     $31    96  
addu    $25    $25    $31  
sw      $0     $31    100 
addu    $26    $26    $31  
sw      $0     $31    104 
addu    $27    $27    $31  
sw      $0     $31    108 
addu    $28    $28    $31  
sw      $0     $31    112 
addu    $29    $29    $31  
sw      $0     $31    116 
addu    $30    $30    $31  
sw      $0     $31    120 
addu    $31    $31    $31  
sw      $0     $31    124 
addu    $0     $1     $31  
sw      $0     $31    128 
addu    $1     $2     $31  
sw      $0     $31    132 
addu    $2     $3     $31  
sw      $0     $31    136 
addu    $3     $4     $31  
sw      $0     $31    140 
addu    $4     $5     $31  
sw      $0     $31    144 
addu    $5     $6     $31  
sw      $0     $31    148 
addu    $6     $7     $31  
sw      $0     $31    152 
addu    $7     $8     $31  
sw      $0     $31    156 
addu    $8     $9     $31  
sw      $0     $31    160 
addu    $9     $10    $31  
sw      $0     $31    164 
addu    $10    $11    $31  
sw      $0     $31    168 
addu    $11    $12    $31  
sw      $0     $31    172 
addu    $12    $13    $31  
sw      $0     $31    176 
addu    $13    $14    $31  
sw      $0     $31    180 
addu    $14    $15    $31  
sw      $0     $31    184 
addu    $15    $16    $31  
sw      $0     $31    188 
addu    $16    $17    $31  
sw      $0     $31    192 
addu    $17    $18    $31  
sw      $0     $31    196 
addu    $18    $19    $31  
sw      $0     $31    200 
addu    $19    $20    $31  
sw      $0     $31    204 
addu    $20    $21    $31  
sw      $0     $31    208 
addu    $21    $22    $31  
sw      $0     $31    212 
addu    $22    $23    $31  
sw      $0     $31    216 
addu    $23    $24    $31  
sw      $0     $31    220 
addu    $24    $25    $31  
sw      $0     $31    224 
addu    $25    $26    $31  
sw      $0     $31    228 
addu    $26    $27    $31  
sw      $0     $31    232 
addu    $27    $28    $31  
sw      $0     $31    236 
addu    $28    $29    $31  
sw      $0     $31    240 
addu    $29    $30    $31  
sw      $0     $31    244 
addu    $30    $31    $31  
sw      $0     $31    248 
addu    $31    $31    $31  
sw      $0     $31    252 
eof 
